title,year,genre,gender,rating,votes,director
The Shawshank Redemption,1994,Drama,male,9.3,3170251,Frank Darabont
The Dark Knight,2008,Action,male,9.1,3148470,Christopher Nolan
Inception,2010,Action,male,8.8,2798815,Christopher Nolan
Fight Club,1999,Crime,male,8.8,2587816,David Fincher
Interstellar,2014,Adventure,male,8.7,2499550,Christopher Nolan
Forrest Gump,1994,Drama,male,8.8,2481813,Robert Zemeckis
Pulp Fiction,1994,Crime,male,8.8,2422752,Quentin Tarantino
The Matrix,1999,Action,female,8.7,2235294,Lana Wachowski
The Lord of the Rings: The Fellowship of the Ring,2001,Adventure,male,8.9,2195155,Peter Jackson
The Lord of the Rings: The Return of the King,2003,Adventure,male,9.0,2153734,Peter Jackson
Seven,1995,Crime,male,8.6,2007939,David Fincher
The Dark Knight Rises,2012,Action,male,8.4,1983509,Christopher Nolan
The Lord of the Rings: The Two Towers,2002,Adventure,male,8.8,1946491,Peter Jackson
Django Unchained,2012,Drama,male,8.5,1871789,Quentin Tarantino
Gladiator,2000,Action,male,8.5,1838535,Ridley Scott
The Wolf of Wall Street,2013,Biography,male,8.2,1774212,Martin Scorsese
Inglourious Basterds,2009,Adventure,male,8.4,1771185,Quentin Tarantino
The Silence of the Lambs,1991,Crime,male,8.6,1712695,Jonathan Demme
Batman Begins,2005,Action,male,8.2,1704820,Christopher Nolan
Joker,2019,Crime,male,8.3,1682196,Todd Phillips
Shutter Island,2010,Drama,male,8.2,1633732,Martin Scorsese
Saving Private Ryan,1998,Drama,male,8.6,1629647,Steven Spielberg
Schindler's List,1993,Biography,male,9.0,1578493,Steven Spielberg
The Prestige,2006,Drama,male,8.5,1578196,Christopher Nolan
The Green Mile,1999,Crime,male,8.6,1552656,Frank Darabont
The Avengers,2012,Action,male,8.0,1551206,Joss Whedon
The Departed,2006,Crime,male,8.5,1546182,Martin Scorsese
Avatar,2009,Action,male,7.9,1490458,James Cameron
Avengers: Endgame,2019,Action,male,8.4,1433893,Anthony Russo
